ISO 639-3	Language Name	Region
# ============================================================
# MESOAMERICA (121 languages)
# ============================================================
knj	Akateko	Mesoamerica
azg	Amuzgo, San Pedro Amuzgos	Mesoamerica
caa	Ch'orti'	Mesoamerica
cly	Chatino, Eastern Highland	Mesoamerica
cya	Chatino, Nopala	Mesoamerica
cco	Chinantec, Comaltepec	Mesoamerica
cnl	Chinantec, Lalana	Mesoamerica
cle	Chinantec, Lealao	Mesoamerica
chz	Chinantec, Ozumacín	Mesoamerica
cpa	Chinantec, Palantla	Mesoamerica
cso	Chinantec, Sochiapam	Mesoamerica
cnt	Chinantec, Tepetotutla	Mesoamerica
cuc	Chinantec, Usila	Mesoamerica
ctu	Chol	Mesoamerica
chf	Chontal, Tabasco	Mesoamerica
cac	Chuj	Mesoamerica
crn	Cora, El Nayar	Mesoamerica
cok	Cora, Santa Teresa	Mesoamerica
hus	Huastec	Mesoamerica
huv	Huave, San Mateo del Mar	Mesoamerica
ixl	Ixil	Mesoamerica
jac	Jakalteko	Mesoamerica
quc	K'iche'	Mesoamerica
cak	Kaqchikel	Mesoamerica
lac	Lacandon	Mesoamerica
mam	Mam	Mesoamerica
mop	Maya, Mopán	Mesoamerica
yua	Maya, Yucatec	Mesoamerica
mfy	Mayo	Mesoamerica
maz	Mazahua, Central	Mesoamerica
vmy	Mazatec, Ayautla	Mesoamerica
maq	Mazatec, Chiquihuitlán	Mesoamerica
mzi	Mazatec, Ixcatlán	Mesoamerica
maj	Mazatec, Jalapa de Díaz	Mesoamerica
maa	Mazatec, San Jerónimo Tecóatl	Mesoamerica
mco	Mixe, Coatlán	Mesoamerica
mxq	Mixe, Juquila	Mesoamerica
pxm	Mixe, Quetzaltepec	Mesoamerica
mto	Mixe, Totontepec	Mesoamerica
mim	Mixtec, Alacatlatzala	Mesoamerica
xta	Mixtec, Alcozauca	Mesoamerica
mbz	Mixtec, Amoltepec	Mesoamerica
mip	Mixtec, Apasco-Apoala	Mesoamerica
mib	Mixtec, Atatlahuca	Mesoamerica
miy	Mixtec, Ayutla	Mesoamerica
mih	Mixtec, Chayuco	Mesoamerica
miz	Mixtec, Coatzospan	Mesoamerica
xtd	Mixtec, Diuxi-Tilantongo	Mesoamerica
mxt	Mixtec, Jamiltepec	Mesoamerica
xtm	Mixtec, Magdalena Peñasco	Mesoamerica
mxv	Mixtec, Metlatónoc	Mesoamerica
xtn	Mixtec, Northern Tlaxiaco	Mesoamerica
mie	Mixtec, Ocotepec	Mesoamerica
mil	Mixtec, Peñoles	Mesoamerica
mio	Mixtec, Pinotepa Nacional	Mesoamerica
mdv	Mixtec, Santa Lucía Monteverde	Mesoamerica
mza	Mixtec, Santa María Zacatepec	Mesoamerica
mit	Mixtec, Southern Puebla	Mesoamerica
mxb	Mixtec, Tezoatlán	Mesoamerica
mpm	Mixtec, Yosondúa	Mesoamerica
nch	Nahuatl, Central Huasteca	Mesoamerica
nhe	Nahuatl, Eastern Huasteca	Mesoamerica
ngu	Nahuatl, Guerrero	Mesoamerica
azz	Nahuatl, Highland Puebla	Mesoamerica
nhx	Nahuatl, Isthmus-Mecayapan	Mesoamerica
ncl	Nahuatl, Michoacán	Mesoamerica
nhy	Nahuatl, Northern Oaxaca	Mesoamerica
ncj	Nahuatl, Northern Puebla	Mesoamerica
nsu	Nahuatl, Sierra Negra	Mesoamerica
npl	Nahuatl, Southeastern Puebla	Mesoamerica
nuz	Nahuatl, Tlamacazapa	Mesoamerica
nhw	Nahuatl, Western Huasteca	Mesoamerica
nhi	Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla	Mesoamerica
ote	Otomi, Mezquital	Mesoamerica
otq	Otomi, Querétaro	Mesoamerica
